nominal,-50,+30,label
1233,1183,1263,PMT1-RA4-45
1588,1538,1618,PMT1-RA4-01
1445,1395,1475,PMT1-RA4-02
1498,1448,1528,PMT1-RA4-03
1440,1390,1470,PMT1-RA4-04
1314,1264,1344,PMT1-RA4-05
1354,1304,1384,PMT1-RA4-06
1521,1471,1551,PMT1-RA4-07
1374,1324,1404,PMT1-RA4-08
1480,1430,1510,PMT1-RA4-09
1369,1319,1399,PMT1-RA4-10
1464,1414,1494,PMT1-RA4-11
1420,1370,1450,PMT1-RA4-12
1457,1407,1487,PMT1-RA4-13
1491,1441,1521,PMT1-RA4-14
1262,1212,1292,PMT1-RA4-15
1384,1334,1414,PMT1-RA4-16
1235,1185,1265,PMT1-RA4-17
1464,1414,1494,PMT1-RA4-18
1450,1400,1480,PMT1-RA4-19
1296,1246,1326,PMT1-RA4-20
1390,1340,1420,PMT1-RA4-21
1400,1350,1430,PMT1-RA4-22
1501,1451,1531,PMT1-RA4-23
1380,1330,1410,PMT1-RA4-24
1331,1281,1361,PMT1-RA4-25
1470,1420,1500,PMT1-RA4-26
1546,1496,1576,PMT1-RA4-27
1409,1359,1439,PMT1-RA4-28
1426,1376,1456,PMT1-RA4-29
1330,1280,1360,PMT1-RA4-30
1470,1420,1500,PMT1-RA4-31
1383,1333,1413,PMT1-RA4-32
1384,1334,1414,PMT1-RA4-33
1300,1250,1330,PMT1-RA4-34
1325,1275,1355,PMT1-RA4-35
1347,1297,1377,PMT1-RA4-36
1358,1308,1388,PMT1-RA4-37
1373,1323,1403,PMT1-RA4-38
1298,1248,1328,PMT1-RA4-39
1352,1302,1382,PMT1-RA4-40
1381,1331,1411,PMT2-RA1-01
1326,1276,1356,PMT2-RA1-02
1195,1145,1225,PMT2-RA1-03
1402,1352,1432,PMT2-RA1-04
1354,1304,1384,PMT2-RA1-05
1360,1310,1390,PMT2-RA1-06
1433,1383,1463,PMT2-RA1-07
1295,1245,1325,PMT2-RA1-08
1378,1328,1408,PMT2-RA1-09
1247,1197,1277,PMT2-RA1-10
1390,1340,1420,PMT2-RA1-11
1386,1336,1416,PMT2-RA1-12
1383,1333,1413,PMT2-RA1-13
1524,1474,1554,PMT2-RA1-14
1299,1249,1329,PMT2-RA1-15
1464,1414,1494,PMT2-RA1-16
1456,1406,1486,PMT2-RA1-17
1414,1364,1444,PMT2-RA1-18
1472,1422,1502,PMT2-RA1-19
1313,1263,1343,PMT2-RA1-20
1432,1382,1462,PMT2-RA1-21
1540,1490,1570,PMT2-RA1-22
1463,1413,1493,PMT2-RA1-23
1436,1386,1466,PMT2-RA1-24
1320,1270,1350,PMT2-RA1-25
1437,1387,1467,PMT2-RA1-26
1426,1376,1456,PMT2-RA1-27
1304,1254,1334,PMT2-RA1-28
1443,1393,1473,PMT2-RA1-29
1188,1138,1218,PMT2-RA1-30
1391,1341,1421,PMT2-RA1-31
1426,1376,1456,PMT2-RA1-32
1426,1376,1456,PMT2-RA1-33
1377,1327,1407,PMT2-RA1-34
1297,1247,1327,PMT2-RA1-35
1447,1397,1477,PMT2-RA1-36
1477,1427,1507,PMT2-RA1-37
1418,1368,1448,PMT2-RA1-38
1439,1389,1469,PMT2-RA1-39
1087,1037,1117,PMT2-RA1-40
1449,1399,1479,PMT2-RA1-41
1288,1238,1318,PMT2-RA1-42
1288,1238,1318,PMT2-RA1-43
1429,1379,1459,PMT2-RA1-44
1204,1154,1234,PMT2-RA1-45
1433,1383,1463,PMT2-RA2-41
1373,1323,1403,PMT2-RA2-42
1454,1404,1484,PMT2-RA2-43
1459,1409,1489,PMT2-RA2-44
1318,1268,1348,PMT2-RA2-45
1504,1454,1534,PMT2-RA2-01
1428,1378,1458,PMT2-RA2-02
1422,1372,1452,PMT2-RA2-03
1347,1297,1377,PMT2-RA2-04
1366,1316,1396,PMT2-RA2-05
1360,1310,1390,PMT2-RA2-06
1515,1465,1545,PMT2-RA2-07
1409,1359,1439,PMT2-RA2-08
1360,1310,1390,PMT2-RA2-09
1392,1342,1422,PMT2-RA2-10
1406,1356,1436,PMT2-RA2-11
1466,1416,1496,PMT2-RA2-12
1465,1415,1495,PMT2-RA2-13
1425,1375,1455,PMT2-RA2-14
1412,1362,1442,PMT2-RA2-15
1418,1368,1448,PMT2-RA2-16
1374,1324,1404,PMT2-RA2-17
1500,1450,1530,PMT2-RA2-18
1427,1377,1457,PMT2-RA2-19
1371,1321,1401,PMT2-RA2-20
1440,1390,1470,PMT2-RA2-21
1383,1333,1413,PMT2-RA2-22
1425,1375,1455,PMT2-RA2-23
1444,1394,1474,PMT2-RA2-24
1364,1314,1394,PMT2-RA2-25
1454,1404,1484,PMT2-RA2-26
1403,1353,1433,PMT2-RA2-27
1393,1343,1423,PMT2-RA2-28
1347,1297,1377,PMT2-RA2-29
1360,1310,1390,PMT2-RA2-30
1422,1372,1452,PMT2-RA2-31
1465,1415,1495,PMT2-RA2-32
1444,1394,1474,PMT2-RA2-33
1395,1345,1425,PMT2-RA2-34
1440,1390,1470,PMT2-RA2-35
1400,1350,1430,PMT2-RA2-36
