pmt_id,channel_id,pmt_in_tpc_plane,pmt_sn,sector_label,ch_number,pmt_position_code,hv_cable_label,signal_cable_label,light_fiber_label,digitizer_label,digitizer_ch_number,hv_supply_label,hv_supply_ch_number,match_ch_sy1527
206,154,EW,FB0286,2L-3,1,6,B34-01,A03-01,21,EW-Top-B,12,PMT2-RA1,21,22
207,153,EW,FB0309,2L-3,3,7,B34-03,A03-03,21,EW-Top-B,14,PMT2-RA1,23,24
208,152,EW,FB0265,2L-3,5,8,B34-05,A03-05,21,EW-Top-B,5,PMT2-RA1,25,26
209,151,EW,FB0436,2L-3,2,9,B34-02,A03-02,21,EW-Top-B,11,PMT2-RA1,22,23
210,150,EW,FB0282,2L-3,4,10,B34-04,A03-04,21,EW-Top-B,6,PMT2-RA1,24,25
211,149,EW,FB0369,2L-4,7,1,B32-07,A02-07,22,EW-Top-C,7,PMT2-RA1,37,38
212,148,EW,FB0353,2L-4,9,2,B32-09,A02-09,22,EW-Top-C,2,PMT2-RA1,39,40
213,147,EW,FB0294,2L-4,6,3,B32-06,A02-06,22,EW-Top-C,8,PMT2-RA1,36,37
214,146,EW,FB0432,2L-4,8,4,B32-08,A02-08,22,EW-Top-C,13,PMT2-RA1,38,39
215,145,EW,FB0139,2L-4,10,5,B32-10,A02-10,22,EW-Top-C,1,PMT2-RA1,40,41
216,144,EW,FB0277,2L-4,1,6,B32-01,A02-01,22,EW-Top-C,10,PMT2-RA1,31,32
217,143,EW,FB0383,2L-4,3,7,B32-03,A02-03,22,EW-Top-C,14,PMT2-RA1,33,34
218,142,EW,FB0296,2L-4,5,8,B32-05,A02-05,22,EW-Top-C,3,PMT2-RA1,35,36
219,141,EW,FB0393,2L-4,2,9,B32-02,A02-02,22,EW-Top-C,9,PMT2-RA1,32,33
220,140,EW,FB0352,2L-4,4,10,B32-04,A02-04,22,EW-Top-C,4,PMT2-RA1,34,35
221,139,EW,FB0414,2L-5,7,1,B07-07,A01-07,23,EW-Top-C,11,PMT2-RA2,42,43
222,138,EW,FB0382,2L-5,9,2,B07-09,A01-09,23,EW-Top-C,6,PMT2-RA2,44,45
223,137,EW,FB0287,2L-5,6,3,B07-06,A01-06,23,EW-Top-C,12,PMT2-RA2,41,42
224,136,EW,FB0447,2L-5,8,4,B07-08,A01-08,23,EW-Top-C,15,PMT2-RA2,43,44
225,135,EW,FB0361,2L-5,10,5,B07-10,A01-10,23,EW-Top-C,5,PMT2-RA2,45,46
226,134,EW,FB0386,2L-5,1,6,B07-01,A01-01,23,EW-Bot-A,8,PMT2-RA1,41,42
227,133,EW,FB0428,2L-5,3,7,B07-03,A01-03,23,EW-Bot-A,15,PMT2-RA1,43,44
228,132,EW,FB0347,2L-5,5,8,B07-05,A01-05,23,EW-Bot-A,1,PMT2-RA1,45,46
229,131,EW,FB0448,2L-5,2,9,B07-02,A01-02,23,EW-Bot-A,7,PMT2-RA1,42,43
230,130,EW,FB0381,2L-5,4,10,B07-04,A01-04,23,EW-Bot-A,2,PMT2-RA1,44,45
231,129,EW,FB0449,2L-6,7,1,B04-07,A22-07,24,EW-Bot-A,9,PMT2-RA2,7,8
232,128,EW,FB0283,2L-6,9,2,B04-09,A22-09,24,EW-Bot-A,4,PMT2-RA2,9,10
233,127,EW,FB0363,2L-6,6,3,B04-06,A22-06,24,EW-Bot-A,10,PMT2-RA2,6,7
234,126,EW,FB0454,2L-6,8,4,B04-08,A22-08,24,EW-Bot-A,13,PMT2-RA2,8,9
235,125,EW,FB0445,2L-6,10,5,B04-10,A22-10,24,EW-Bot-A,3,PMT2-RA2,10,11
236,124,EW,FB0444,2L-6,1,6,B04-01,A22-01,24,EW-Bot-A,12,PMT2-RA2,1,2
237,123,EW,FB0416,2L-6,3,7,B04-03,A22-03,24,EW-Bot-A,14,PMT2-RA2,3,4
238,122,EW,FB0427,2L-6,5,8,B04-05,A22-05,24,EW-Bot-A,5,PMT2-RA2,5,6
239,121,EW,FB0267,2L-6,2,9,B04-02,A22-02,24,EW-Bot-A,11,PMT2-RA2,2,3
240,120,EW,FB0289-1,2L-6,4,10,B04-04,A22-04,24,EW-Bot-A,6,PMT2-RA2,4,5
